Store,Item,Item Code,Time,Value,RDPI,Year,Month,WeekOfMonth,WeekOfYear,IsUsNewYearsDay,IsUsLaborDay,IsBlackFriday,IsChristmasDay,FreqCos1,FreqSin1,FreqCos2,FreqSin2,FreqCos3,FreqSin3,FreqCos4,FreqSin4,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10
2,1,APKM2078/BLK,12/10/2016 9:00:04 AM,4.86753445,11239,2016,12,2,50,FALSE,FALSE,FALSE,FALSE,0.970941817,-0.239315664,0.885456026,-0.464723172,-0.663122658,-0.663122658,-0.822983866,-0.822983866,0,0,0,0,0,0,0,0,0,0
2,1,APKM2078/BLK,12/17/2016 9:00:04 AM,5.402677382,11239,2016,12,3,51,FALSE,FALSE,FALSE,FALSE,0.992708874,-0.12053668,0.970941817,-0.239315664,-0.354604887,-0.354604887,-0.464723172,-0.464723172,4.86753445,0,0,0,0,0,0,0,0,0
2,1,APKM2078/BLK,12/24/2016 9:00:04 AM,5.111987788,11297.4,2016,12,4,52,FALSE,FALSE,FALSE,TRUE,1,6.43E-16,1,1.29E-15,-7.35E-16,-7.35E-16,2.57E-15,2.57E-15,5.402677382,4.86753445,0,0,0,0,0,0,0,0
2,1,APKM2078/BLK,12/31/2016 9:00:04 AM,5.159055299,11297.4,2016,12,5,53,TRUE,FALSE,FALSE,FALSE,0.992708874,0.12053668,0.970941817,0.239315664,0.354604887,0.354604887,0.464723172,0.464723172,5.111987788,5.402677382,4.86753445,0,0,0,0,0,0,0
2,1,APKM2078/BLK,1/7/2017 9:00:04 AM,5.463831805,11297.4,2017,1,1,1,FALSE,FALSE,FALSE,FALSE,0.992708874,0.12053668,0.970941817,0.239315664,0.354604887,0.354604887,0.464723172,0.464723172,5.159055299,5.111987788,5.402677382,4.86753445,0,0,0,0,0,0
2,1,APKM2078/BLK,1/14/2017 9:00:04 AM,5.857933154,11297.4,2017,1,2,2,FALSE,FALSE,FALSE,FALSE,0.970941817,0.239315664,0.885456026,0.464723172,0.663122658,0.663122658,0.822983866,0.822983866,5.463831805,5.159055299,5.111987788,5.402677382,4.86753445,0,0,0,0,0
2,1,APKM2078/BLK,1/21/2017 9:00:04 AM,5.375278408,11297.4,2017,1,3,3,FALSE,FALSE,FALSE,FALSE,0.935016243,0.354604887,0.748510748,0.663122658,0.885456026,0.885456026,0.992708874,0.992708874,5.857933154,5.463831805,5.159055299,5.111987788,5.402677382,4.86753445,0,0,0,0
2,1,APKM2078/BLK,1/28/2017 9:00:04 AM,5.438079309,11329,2017,1,4,4,FALSE,FALSE,FALSE,FALSE,0.885456026,0.464723172,0.568064747,0.822983866,0.992708874,0.992708874,0.935016243,0.935016243,5.375278408,5.857933154,5.463831805,5.159055299,5.111987788,5.402677382,4.86753445,0,0,0
2,1,APKM2078/BLK,2/4/2017 9:00:04 AM,5.590986981,11329,2017,2,1,5,FALSE,FALSE,FALSE,FALSE,0.822983866,0.568064747,0.354604887,0.935016243,0.970941817,0.970941817,0.663122658,0.663122658,5.438079309,5.375278408,5.857933154,5.463831805,5.159055299,5.111987788,5.402677382,4.86753445,0,0
2,1,APKM2078/BLK,2/11/2017 9:00:04 AM,5.805134969,11329,2017,2,2,6,FALSE,FALSE,FALSE,FALSE,0.748510748,0.663122658,0.12053668,0.992708874,0.822983866,0.822983866,0.239315664,0.239315664,5.590986981,5.438079309,5.375278408,5.857933154,5.463831805,5.159055299,5.111987788,5.402677382,4.86753445,0
2,1,APKM2078/BLK,2/18/2017 9:00:04 AM,5.634789603,11329,2017,2,3,7,FALSE,FALSE,FALSE,FALSE,0.663122658,0.748510748,-0.12053668,0.992708874,0.568064747,0.568064747,-0.239315664,-0.239315664,5.805134969,5.590986981,5.438079309,5.375278408,5.857933154,5.463831805,5.159055299,5.111987788,5.402677382,4.86753445
2,1,APKM2078/BLK,2/25/2017 9:00:04 AM,5.365976015,11312.4,2017,2,4,8,FALSE,FALSE,FALSE,FALSE,0.568064747,0.822983866,-0.354604887,0.935016243,0.239315664,0.239315664,-0.663122658,-0.663122658,5.634789603,5.805134969,5.590986981,5.438079309,5.375278408,5.857933154,5.463831805,5.159055299,5.111987788,5.402677382
2,1,APKM2078/BLK,3/4/2017 9:00:04 AM,5.393627546,11312.4,2017,3,1,9,FALSE,FALSE,FALSE,FALSE,0.464723172,0.885456026,-0.568064747,0.822983866,-0.12053668,-0.12053668,-0.935016243,-0.935016243,5.365976015,5.634789603,5.805134969,5.590986981,5.438079309,5.375278408,5.857933154,5.463831805,5.159055299,5.111987788
2,1,APKM2078/BLK,3/11/2017 9:00:04 AM,5.620400866,11312.4,2017,3,2,10,FALSE,FALSE,FALSE,FALSE,0.354604887,0.935016243,-0.748510748,0.663122658,-0.464723172,-0.464723172,-0.992708874,-0.992708874,5.393627546,5.365976015,5.634789603,5.805134969,5.590986981,5.438079309,5.375278408,5.857933154,5.463831805,5.159055299
2,1,APKM2078/BLK,3/18/2017 9:00:04 AM,5.384495063,11312.4,2017,3,3,11,FALSE,FALSE,FALSE,FALSE,0.239315664,0.970941817,-0.885456026,0.464723172,-0.748510748,-0.748510748,-0.822983866,-0.822983866,5.620400866,5.393627546,5.365976015,5.634789603,5.805134969,5.590986981,5.438079309,5.375278408,5.857933154,5.463831805
2,1,APKM2078/BLK,3/25/2017 9:00:04 AM,5.420534999,11282.8,2017,3,4,12,FALSE,FALSE,FALSE,FALSE,0.12053668,0.992708874,-0.970941817,0.239315664,-0.935016243,-0.935016243,-0.464723172,-0.464723172,5.384495063,5.620400866,5.393627546,5.365976015,5.634789603,5.805134969,5.590986981,5.438079309,5.375278408,5.857933154
2,1,APKM2078/BLK,4/1/2017 9:00:04 AM,5.505331536,11282.8,2017,4,1,13,FALSE,FALSE,FALSE,FALSE,-1.61E-16,1,-1,-3.22E-16,-1,-1,6.43E-16,6.43E-16,5.420534999,5.384495063,5.620400866,5.393627546,5.365976015,5.634789603,5.805134969,5.590986981,5.438079309,5.375278408
2,1,APKM2078/BLK,4/8/2017 9:00:04 AM,5.828945618,11282.8,2017,4,2,14,FALSE,FALSE,FALSE,FALSE,-0.12053668,0.992708874,-0.970941817,-0.239315664,-0.935016243,-0.935016243,0.464723172,0.464723172,5.505331536,5.420534999,5.384495063,5.620400866,5.393627546,5.365976015,5.634789603,5.805134969,5.590986981,5.438079309
2,1,APKM2078/BLK,4/15/2017 9:00:04 AM,5.356586275,11282.8,2017,4,3,15,FALSE,FALSE,FALSE,FALSE,-0.239315664,0.970941817,-0.885456026,-0.464723172,-0.748510748,-0.748510748,0.822983866,0.822983866,5.828945618,5.505331536,5.420534999,5.384495063,5.620400866,5.393627546,5.365976015,5.634789603,5.805134969,5.590986981
2,1,APKM2078/BLK,4/22/2017 9:00:04 AM,5.703782475,11282.8,2017,4,4,16,FALSE,FALSE,FALSE,FALSE,-0.354604887,0.935016243,-0.748510748,-0.663122658,-0.464723172,-0.464723172,0.992708874,0.992708874,5.356586275,5.828945618,5.505331536,5.420534999,5.384495063,5.620400866,5.393627546,5.365976015,5.634789603,5.805134969
2,1,APKM2078/BLK,4/29/2017 9:00:04 AM,5.365976015,11277.1,2017,4,5,17,FALSE,FALSE,FALSE,FALSE,-0.464723172,0.885456026,-0.568064747,-0.822983866,-0.12053668,-0.12053668,0.935016243,0.935016243,5.703782475,5.356586275,5.828945618,5.505331536,5.420534999,5.384495063,5.620400866,5.393627546,5.365976015,5.634789603
2,1,APKM2078/BLK,5/6/2017 9:00:04 AM,5.85220248,11277.1,2017,5,1,18,FALSE,FALSE,FALSE,FALSE,-0.568064747,0.822983866,-0.354604887,-0.935016243,0.239315664,0.239315664,0.663122658,0.663122658,5.365976015,5.703782475,5.356586275,5.828945618,5.505331536,5.420534999,5.384495063,5.620400866,5.393627546,5.365976015
2,1,APKM2078/BLK,5/13/2017 9:00:04 AM,5.966146739,11277.1,2017,5,2,19,FALSE,FALSE,FALSE,FALSE,-0.663122658,0.748510748,-0.12053668,-0.992708874,0.568064747,0.568064747,0.239315664,0.239315664,5.85220248,5.365976015,5.703782475,5.356586275,5.828945618,5.505331536,5.420534999,5.384495063,5.620400866,5.393627546
2,1,APKM2078/BLK,5/20/2017 9:00:04 AM,5.846438775,11277.1,2017,5,3,20,FALSE,FALSE,FALSE,FALSE,-0.748510748,0.663122658,0.12053668,-0.992708874,0.822983866,0.822983866,-0.239315664,-0.239315664,5.966146739,5.85220248,5.365976015,5.703782475,5.356586275,5.828945618,5.505331536,5.420534999,5.384495063,5.620400866
2,1,APKM2078/BLK,5/27/2017 9:00:04 AM,5.996452089,11325.8,2017,5,4,21,FALSE,FALSE,FALSE,FALSE,-0.822983866,0.568064747,0.354604887,-0.935016243,0.970941817,0.970941817,-0.663122658,-0.663122658,5.846438775,5.966146739,5.85220248,5.365976015,5.703782475,5.356586275,5.828945618,5.505331536,5.420534999,5.384495063
2,1,APKM2078/BLK,6/3/2017 9:00:04 AM,5.723585102,11325.8,2017,6,1,22,FALSE,FALSE,FALSE,FALSE,-0.885456026,0.464723172,0.568064747,-0.822983866,0.992708874,0.992708874,-0.935016243,-0.935016243,5.996452089,5.846438775,5.966146739,5.85220248,5.365976015,5.703782475,5.356586275,5.828945618,5.505331536,5.420534999
2,1,APKM2078/BLK,6/10/2017 9:00:04 AM,5.762051383,11325.8,2017,6,2,23,FALSE,FALSE,FALSE,FALSE,-0.935016243,0.354604887,0.748510748,-0.663122658,0.885456026,0.885456026,-0.992708874,-0.992708874,5.723585102,5.996452089,5.846438775,5.966146739,5.85220248,5.365976015,5.703782475,5.356586275,5.828945618,5.505331536
2,1,APKM2078/BLK,6/17/2017 9:00:04 AM,5.655991811,11325.8,2017,6,3,24,FALSE,FALSE,FALSE,FALSE,-0.970941817,0.239315664,0.885456026,-0.464723172,0.663122658,0.663122658,-0.822983866,-0.822983866,5.762051383,5.723585102,5.996452089,5.846438775,5.966146739,5.85220248,5.365976015,5.703782475,5.356586275,5.828945618
2,1,APKM2078/BLK,6/24/2017 9:00:04 AM,5.521460918,11371.2,2017,6,4,25,FALSE,FALSE,FALSE,FALSE,-0.992708874,0.12053668,0.970941817,-0.239315664,0.354604887,0.354604887,-0.464723172,-0.464723172,5.655991811,5.762051383,5.723585102,5.996452089,5.846438775,5.966146739,5.85220248,5.365976015,5.703782475,5.356586275
2,1,APKM2078/BLK,7/1/2017 9:00:04 AM,5.135798437,11371.2,2017,7,1,26,FALSE,FALSE,FALSE,FALSE,-1,-3.22E-16,1,6.43E-16,3.67E-16,3.67E-16,1.29E-15,1.29E-15,5.521460918,5.655991811,5.762051383,5.723585102,5.996452089,5.846438775,5.966146739,5.85220248,5.365976015,5.703782475
2,1,APKM2078/BLK,7/8/2017 9:00:04 AM,5.811140993,11371.2,2017,7,2,27,FALSE,FALSE,FALSE,FALSE,-0.992708874,-0.12053668,0.970941817,0.239315664,-0.354604887,-0.354604887,0.464723172,0.464723172,5.135798437,5.521460918,5.655991811,5.762051383,5.723585102,5.996452089,5.846438775,5.966146739,5.85220248,5.365976015
2,1,APKM2078/BLK,7/15/2017 9:00:04 AM,5.545177444,11371.2,2017,7,3,28,FALSE,FALSE,FALSE,FALSE,-0.970941817,-0.239315664,0.885456026,0.464723172,-0.663122658,-0.663122658,0.822983866,0.822983866,5.811140993,5.135798437,5.521460918,5.655991811,5.762051383,5.723585102,5.996452089,5.846438775,5.966146739,5.85220248
2,1,APKM2078/BLK,7/22/2017 9:00:04 AM,5.575949103,11371.2,2017,7,4,29,FALSE,FALSE,FALSE,FALSE,-0.935016243,-0.354604887,0.748510748,0.663122658,-0.885456026,-0.885456026,0.992708874,0.992708874,5.545177444,5.811140993,5.135798437,5.521460918,5.655991811,5.762051383,5.723585102,5.996452089,5.846438775,5.966146739
2,1,APKM2078/BLK,7/29/2017 9:00:04 AM,5.420534999,11363.5,2017,7,5,30,FALSE,FALSE,FALSE,FALSE,-0.885456026,-0.464723172,0.568064747,0.822983866,-0.992708874,-0.992708874,0.935016243,0.935016243,5.575949103,5.545177444,5.811140993,5.135798437,5.521460918,5.655991811,5.762051383,5.723585102,5.996452089,5.846438775
2,1,APKM2078/BLK,8/5/2017 9:00:04 AM,5.669880923,11363.5,2017,8,1,31,FALSE,FALSE,FALSE,FALSE,-0.822983866,-0.568064747,0.354604887,0.935016243,-0.970941817,-0.970941817,0.663122658,0.663122658,5.420534999,5.575949103,5.545177444,5.811140993,5.135798437,5.521460918,5.655991811,5.762051383,5.723585102,5.996452089
2,1,APKM2078/BLK,8/12/2017 9:00:04 AM,5.863631176,11363.5,2017,8,2,32,FALSE,FALSE,FALSE,FALSE,-0.748510748,-0.663122658,0.12053668,0.992708874,-0.822983866,-0.822983866,0.239315664,0.239315664,5.669880923,5.420534999,5.575949103,5.545177444,5.811140993,5.135798437,5.521460918,5.655991811,5.762051383,5.723585102
2,1,APKM2078/BLK,8/19/2017 9:00:04 AM,5.513428746,11363.5,2017,8,3,33,FALSE,FALSE,FALSE,FALSE,-0.663122658,-0.748510748,-0.12053668,0.992708874,-0.568064747,-0.568064747,-0.239315664,-0.239315664,5.863631176,5.669880923,5.420534999,5.575949103,5.545177444,5.811140993,5.135798437,5.521460918,5.655991811,5.762051383
2,1,APKM2078/BLK,8/26/2017 9:00:04 AM,5.568344504,11330.8,2017,8,4,34,FALSE,FALSE,FALSE,FALSE,-0.568064747,-0.822983866,-0.354604887,0.935016243,-0.239315664,-0.239315664,-0.663122658,-0.663122658,5.513428746,5.863631176,5.669880923,5.420534999,5.575949103,5.545177444,5.811140993,5.135798437,5.521460918,5.655991811
2,1,APKM2078/BLK,9/2/2017 9:00:04 AM,5.605802066,11330.8,2017,9,1,35,FALSE,TRUE,FALSE,FALSE,-0.464723172,-0.885456026,-0.568064747,0.822983866,0.12053668,0.12053668,-0.935016243,-0.935016243,5.568344504,5.513428746,5.863631176,5.669880923,5.420534999,5.575949103,5.545177444,5.811140993,5.135798437,5.521460918
2,1,APKM2078/BLK,9/9/2017 9:00:04 AM,5.66296048,11330.8,2017,9,2,36,FALSE,FALSE,FALSE,FALSE,-0.354604887,-0.935016243,-0.748510748,0.663122658,0.464723172,0.464723172,-0.992708874,-0.992708874,5.605802066,5.568344504,5.513428746,5.863631176,5.669880923,5.420534999,5.575949103,5.545177444,5.811140993,5.135798437
2,1,APKM2078/BLK,9/16/2017 9:00:04 AM,5.288267031,11330.8,2017,9,3,37,FALSE,FALSE,FALSE,FALSE,-0.239315664,-0.970941817,-0.885456026,0.464723172,0.748510748,0.748510748,-0.822983866,-0.822983866,5.66296048,5.605802066,5.568344504,5.513428746,5.863631176,5.669880923,5.420534999,5.575949103,5.545177444,5.811140993
2,1,APKM2078/BLK,9/23/2017 9:00:04 AM,5.429345629,11340.8,2017,9,4,38,FALSE,FALSE,FALSE,FALSE,-0.12053668,-0.992708874,-0.970941817,0.239315664,0.935016243,0.935016243,-0.464723172,-0.464723172,5.288267031,5.66296048,5.605802066,5.568344504,5.513428746,5.863631176,5.669880923,5.420534999,5.575949103,5.545177444
2,1,APKM2078/BLK,9/30/2017 9:00:04 AM,5.298317367,11340.8,2017,9,5,39,FALSE,FALSE,FALSE,FALSE,-1.84E-16,-1,-1,3.67E-16,1,1,-7.35E-16,-7.35E-16,5.429345629,5.288267031,5.66296048,5.605802066,5.568344504,5.513428746,5.863631176,5.669880923,5.420534999,5.575949103
2,1,APKM2078/BLK,10/7/2017 9:00:04 AM,5.537334267,11340.8,2017,10,1,40,FALSE,FALSE,FALSE,FALSE,0.12053668,-0.992708874,-0.970941817,-0.239315664,0.935016243,0.935016243,0.464723172,0.464723172,5.298317367,5.429345629,5.288267031,5.66296048,5.605802066,5.568344504,5.513428746,5.863631176,5.669880923,5.420534999
2,1,APKM2078/BLK,10/14/2017 9:00:04 AM,5.676753802,11340.8,2017,10,2,41,FALSE,FALSE,FALSE,FALSE,0.239315664,-0.970941817,-0.885456026,-0.464723172,0.748510748,0.748510748,0.822983866,0.822983866,5.537334267,5.298317367,5.429345629,5.288267031,5.66296048,5.605802066,5.568344504,5.513428746,5.863631176,5.669880923
